,source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,pm,radial_velocity,lum_flame,radius_flame,mass_flame,mag
3823,141784914916891136,42.60567186942028,38.007635954293974,2.0789420616401535,15.396923,1.3887835,4471.621,4.5171,-0.1604,11.3695965,,0.16432393,0.6669573,0.7231748,6.986134995583644
3824,141791477626872576,42.58588383285114,38.186461790726675,2.2771618096374358,14.330813,1.2052526,4805.2393,4.5282,0.0327,12.813753,-40.124588,0.31842273,0.8142152,,6.11778381973336
3825,141794604363301376,41.77967155394281,37.66206896144827,1.0602649969010023,15.472031,0.99185085,5335.888,4.6153,-0.5091,11.566336,,0.45219165,0.79488146,0.89780056,5.599102759880569
3826,141803572254692992,42.01372195983253,37.858323679474516,2.057862502051223,17.106783,2.1091995,3897.6592,4.454,-0.0027,12.170434,,0.06658317,0.56444436,0.5769982,8.673864681289242
3827,141808760575164672,41.977187577930586,37.96641720720675,0.39491860948926033,12.801404,1.4043303,4836.893,2.8424,0.1803,2.1743765,-67.371544,57.635258,10.819205,2.802537,0.7839410416106638
3828,141809275971432832,42.04938472207471,38.01832638153377,1.066200277919487,13.963411,0.8490372,5859.334,4.1665,-0.2377,7.160991,-4.323744,1.7217797,1.2724183,1.019308,4.1026052881451385
3829,141816663314885120,41.56288111085564,37.933648515359025,3.670791677105349,15.127966,1.7035675,4297.203,4.6829,-0.002,43.47327,-50.3796,0.100998916,0.57393295,,7.951764618847438
3830,141817968985049728,41.72204686155308,38.018759117787006,1.3242214608926595,16.47194,1.4754238,4535.725,4.6501,-0.0628,5.2052627,,0.16080911,0.6515076,0.728086,7.0817421967253384
3831,141818037704530048,41.68833505523628,38.00781443482277,1.1372266186414788,14.959957,0.93825436,5581.1895,4.585,-0.1532,4.555174,,0.6492283,0.8641656,0.97086614,5.239192205338544
3832,141818858041259136,41.65971822066404,38.03357973592923,4.916187276534201,12.090414,0.9240055,5599.517,4.6098,-0.3659,31.955004,11.077465,0.50705,0.75919837,,5.548556139647943
3833,141822328374831488,42.00171506597967,38.119816737012336,2.4590536969896655,11.836572,0.7217436,6133.5728,4.1894,-0.189,9.874597,-4.786497,2.3154268,1.3476467,1.1591855,3.7904108011942306
3834,141823397823676800,41.94986869464511,38.14329445830823,0.9202945435625599,13.787244,0.7372179,6310.5425,4.1701,-0.7525,7.747432,-1.0920143,3.0581484,1.4715972,1.2367953,3.60687712488917
3835,141828276906764032,42.17686428799853,37.94017006225035,1.133818990385624,15.948896,1.0944862,4939.426,4.6755,-0.6999,10.698873,,0.25813395,0.7047624,0.8111971,6.221615041750134
3836,141829342058432128,42.1511891903104,37.99709383317725,1.8621118044554232,11.281618,0.79955196,,,,14.044141,12.290486,,,,2.6316468844351952
3837,141832503154499328,42.29067625607757,38.182928682230184,0.7019378153086578,14.457188,0.73476887,6063.0947,4.1675,-0.3383,4.2063074,-53.39066,2.416829,1.3998686,1.1624373,3.6886808509539737
3838,141834083702308736,42.032157361590464,38.12756143359016,1.0318377284540887,14.376322,0.81245995,5746.917,4.352,-0.441,6.5796623,-19.663696,1.2272352,1.1165444,0.9746479,4.444378810172006
3839,141835728674091008,42.21421350307596,38.21208399387504,3.074407173030098,16.139513,2.0499954,3892.884,4.6909,0.08,37.69591,,0.06772774,0.5714193,0.58437395,8.57831993938905
3840,141836935561219712,42.18102075208618,38.28063473376707,1.299930439788772,14.543465,0.88006115,5447.99,4.4275,-0.6989,11.383635,-6.294078,0.6633928,0.92248195,0.87534475,5.113065228239673
3841,141837279158137344,42.336969272385474,38.153541934737284,0.7636096167723234,14.6511,0.74073124,6335.2085,4.2694,-1.4902,8.5683565,,2.119854,1.2097666,1.2125379,4.065457104633593
3842,141838309950276224,42.338390620277366,38.203170057434725,0.3744891613398809,13.198987,1.2408266,,,,1.9148326,-18.72441,,,,1.0661823166696038
3843,141839615620316800,42.44555722639817,38.27065809975141,1.784227499824696,13.597517,0.8813019,5726.8335,4.4109,-0.297,2.0518734,-6.145214,0.94836783,0.9921832,0.98029304,4.854768157302203
3844,141844769580898048,42.30192717038458,38.37268486809145,2.09077401689006,16.939016,2.401288,3721.2817,4.6848,0.1471,24.546652,,0.09412612,0.7343533,0.60779446,8.540551813469508
3845,141851469730550784,41.90888302623807,38.2951030766951,5.08043696719672,10.567365,0.7846165,6060.3325,4.2406,-0.4584,28.416462,-14.470767,1.9289352,1.2656544,1.1190144,4.096870029974644
3846,141853290796019840,42.02976311602122,38.39334610742439,9.770768332716377,16.403296,2.602291,3419.987,5.0324,-0.5532,104.79352,,0.0070053074,0.2386304,,11.352939097864061
3847,141859746131699712,42.149861306069056,38.495148475879766,1.6985032207733362,12.480381,0.83300304,5745.2676,4.1446,-0.0749,3.5356917,-52.89666,2.6997633,1.6603757,1.0701085,3.630712885634459
3848,141861812011106432,42.22446597265371,38.569941256416,1.5681617018042717,14.469672,0.97393227,5513.422,4.5866,-0.3938,9.75505,4.7129564,0.548117,0.8331211,0.9369772,5.446627372525274
3849,141870848622121856,45.03350340414688,35.95861445780666,0.9363809319505821,14.233189,1.1115551,5252.2803,4.1412,-0.2319,3.946663,-27.967358,2.0319674,1.7083917,0.9682331,4.0904514358145505
3850,141885210992836864,44.89566006958777,36.10617589855332,1.990958227466791,16.436441,1.911583,4298.3022,4.5645,0.2075,5.0148244,,0.14281072,0.6812514,0.6846368,7.93175216220088
3851,141889024923531904,44.74200319542538,36.1401491041359,7.340265451055168,15.151151,2.4519281,3561.8591,4.7086,-0.1135,104.943596,1.6588153,0.03702421,0.5051897,,9.479708579202631
3852,141889299801602688,44.814870851135936,36.172892277413084,3.0186562043251226,13.875534,1.3584251,4840.7983,4.4731,-0.1505,10.3897915,2.0638375,0.37731293,0.8745116,,6.274602327160338
3853,141893285531226368,45.05644858446131,36.24700888236024,0.6411593210866081,14.661689,0.92984676,5974.0776,4.1907,-0.3681,6.9937387,27.823112,3.1506414,1.6617907,1.1383069,3.696519560117107
3854,141896893303741568,45.00321285261284,36.32412806587967,1.7934756841571733,11.238273,0.68927574,7070.065,3.9251,-0.1162,9.216511,-6.006821,10.698293,2.186318,1.666193,2.5067510851637245
3855,141902150343832832,45.37195461362815,36.21814788372471,2.6380157475072217,16.23405,2.0548105,4251.2876,4.6119,0.3058,13.464841,,0.11381496,0.62176824,0.6699382,8.340437669322208
3856,141906685829598976,45.30814067388013,36.3367554648944,0.8586654354090201,15.570657,1.211916,4992.6196,4.3746,-0.256,9.405063,,0.79667956,1.1722839,,5.239775728878714
3857,141909915644687232,45.58195156387351,36.384111254727294,1.2271168192872464,15.187596,1.0730438,5357.156,4.5125,-0.5874,7.4551115,,0.5279159,0.8521871,0.8857207,5.632024911127232
3858,141911290034213760,45.60991442226513,36.44539723390365,1.3706537252257016,15.49658,1.3374186,4849.962,4.4816,-0.033,3.1229298,,0.34692067,0.8326946,0.77025914,6.181218877723591
3859,141913557776949760,45.46185513393153,36.46021966124848,3.7681834142813657,14.906948,1.7031994,,,,33.00524,-14.711044,,,,7.78760825801653
3860,141913729575486208,45.42371621830224,36.47607841348722,0.9674267957014491,15.376368,1.0359201,5670.0234,4.5319,-0.6343,5.4725795,,0.7755858,0.91441554,0.99179864,5.304458130314774
3861,141921078264049280,45.09446491396265,36.412873971966484,1.1444343383474451,12.453282,1.3330698,5172.881,3.3721,0.0868,4.367058,22.593573,9.8408,3.9169986,1.6500342,2.7462358034929277
3862,141927610909764608,45.44666346721442,36.58288529912802,0.756113675278242,14.467608,1.0676041,5345.1704,4.1841,0.2372,7.56456,15.636131,2.377817,1.78976,1.015748,3.8605448700263363
3863,141934585936610048,44.66715780232156,36.13828408970122,1.1018467812072519,15.725143,1.2715626,5202.9766,4.6111,-0.5717,14.389971,,0.52661985,0.9046253,0.8236787,5.935749469159044
3864,141937231636451072,44.72879839711519,36.23538957737014,2.892762718948719,12.763204,1.0573425,5812.5425,4.2461,-4.1056,49.29134,45.300564,,,,5.069766726113148
3865,141945993369859328,44.890948836035676,36.41375746770959,1.4133003644304403,15.529747,1.29002,4980.115,4.5451,-0.0241,1.4454894,,0.34016684,0.7838943,0.8080959,6.280919363997867
3866,141946749283923584,44.87775912254157,36.465226658587625,0.8326679016786774,15.0749855,0.95127106,5484.258,4.3306,-0.9135,5.2137585,,1.1086774,1.1810575,,4.677344621470265
3867,141962245525912448,44.656245572490846,36.588879454374194,1.9547682625684613,13.2595625,0.95462894,5832.834,4.367,-0.414,8.765154,-35.183807,1.3089648,1.1212597,0.99809605,4.715039842292343
3868,141963826073873152,44.67467676420871,36.614398622678685,0.9666233582280213,16.07964,1.1953201,4990.5015,4.4717,-0.627,1.5235163,,0.40487933,0.84753275,0.8032043,6.00592586258713
3869,141968494701864960,44.65458601268611,36.73306462336596,0.5698064243354506,11.89943,1.2782583,4696.248,2.474,-0.3678,3.5590231,-92.39035,49.133785,10.61646,2.9024332,0.6780660284117204
3870,141969770308782848,45.02748710325403,36.50185194558781,0.6942225868338268,13.681404,1.258934,4887.467,3.3167,-0.141,7.243915,-20.886082,6.3217406,3.5206525,1.1410998,2.8888978113951964
3871,141512098594263808,42.58746426082409,36.848478555440664,2.2483483122244934,14.405152,1.296238,4720.2007,4.5246,0.3824,19.385384,2.7006366,0.3284836,0.83902127,,6.1644693304073925
3872,141515706366763392,42.62294259982424,37.02871381981026,0.9587804693710799,15.1441555,0.9809265,5209.75,4.4002,-0.5251,14.188205,,0.71085024,1.0344965,,5.052751396071731
3873,141519795175479936,42.53325514003489,37.087824600946966,1.1407553631420058,15.357356,1.0989027,5027.6055,4.5025,-0.068,5.2150664,,0.44344124,0.8781937,0.81718826,5.64331962134435
3874,141527354318030592,42.70886375636038,37.224680538476925,1.3537573303673094,14.365828,0.93300724,5264.4736,4.3803,-0.7837,28.035536,-53.427967,0.73625296,1.0277145,,5.023531666779885
3875,141531202608617728,42.36988147311623,37.13253544693381,2.0145588991521968,15.79018,1.8113546,4311.0137,4.5376,0.3296,13.942604,,0.19769596,0.7951855,,7.311080052641964
3876,141532576998760960,42.43275047019419,37.15360179293849,1.6334897950226637,15.875305,1.290493,4729.915,4.6899,-0.3811,130.45541,,0.1702997,0.6146563,,6.940887303939574
3877,141536390929714688,42.40720201700162,37.25871211080025,1.596350818923184,16.083733,1.5300465,4473.458,4.5839,0.1877,10.739056,,0.16670677,0.6789772,0.7179664,7.09937430189566
3878,141536768886206720,42.399928049457145,37.28386799729379,0.9513801042877844,13.663951,1.013979,5528.1304,4.0894,-0.5806,16.402117,-65.592735,3.4431274,2.0250194,1.1501528,3.555722198812038
3879,141540376658858496,42.64865622435288,37.32688804554429,0.6841714152008713,14.325504,0.7707386,6014.1113,3.8163,-0.5927,6.4606347,31.775927,3.0231376,1.6014309,1.1492302,3.5013289296290377
3880,141541304371658240,42.57738442781534,37.32877291921147,14.91978315764575,17.250214,1.1148052,,,,13.741493,,,,,13.119026179037684
3881,141544465468216192,42.4415521319895,37.42786836039622,1.729291723556793,16.619347,1.7497826,4347.3833,4.5811,0.2514,12.948969,,0.121272966,0.6082533,0.6919637,7.808687933327375
